Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.0152,0.01508,5.69897,0.0900000036,1.0816895962,0.09,-1.179,3.4506,3.325,0,0,0.545,0,0,0,0,0,-1,-6.11E-14,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,7.717,9.362,11.42,8.008
0.0152,0.01508,5.69897,0.1000000015,1.1711064577,0.1,-1.102,3.4558,3.316,0,0,0.545,0,0,0,0,0,-1,-6.98E-14,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,7.526,9.123,11.132,7.781
0.0152,0.01508,5.69897,0.1022293121,1.1894632578,0.102,-1.085,3.4571,3.313,0,0,0.545,0,0,0,0,0,-1,-7.21E-14,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,7.483,9.069,11.067,7.729
0.0152,0.01508,5.69897,0.1200000122,1.3193155527,0.12,-0.957,3.4656,3.289,0,0,0.545,0,0,0,0,0,-1,-9.18E-14,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,7.163,8.684,10.615,7.361
0.0152,0.01508,5.69897,0.1272295564,1.3651787043,0.127,-0.915,3.4689,3.284,0,0,0.545,0,0,0,0,0,-1,-9.88E-14,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,7.056,8.553,10.459,7.236
0.0152,0.01508,5.69897,0.1400000006,1.4384527206,0.14,-0.833,3.4744,3.266,0,0,0.545,0,0,0,0,0,-1,-1.16E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,6.852,8.313,10.184,7.007
0.0152,0.01508,5.69897,0.1587110907,1.5314182043,0.159,-0.749,3.4821,3.268,0,0,0.545,0,0,0,0,0,-1,-1.32E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,6.644,8.054,9.871,6.762
0.0152,0.01508,5.69897,0.1599999964,1.5372931957,0.16,-0.743,3.4826,3.267,0,0,0.545,0,0,0,0,0,-1,-1.33E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,6.628,8.035,9.849,6.744
0.0152,0.01508,5.69897,0.1803431362,1.6225833893,0.18,-0.626,3.4922,3.241,0,0,0.545,0,0,0,0,0,-1,-1.7E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,6.334,7.693,9.45,6.418
0.0152,0.01508,5.69897,0.2050691843,1.710798502,0.205,-0.526,3.5022,3.236,0,0,0.545,0,0,0,0,0,-1,-2.01E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,6.084,7.39,9.092,6.132
