Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.0152,0.01508,6,0.0900000036,1.0816895962,0.09,-1.321,3.4419,3.433,0,0,0.545,0,0,0,0,0,-1,-3.88E-14,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,8.073,9.797,11.946,8.424
0.0152,0.01508,6,0.1000000015,1.1711064577,0.1,-1.221,3.4494,3.408,0,0,0.545,0,0,0,0,0,-1,-4.77E-14,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,7.822,9.468,11.536,8.113
0.0152,0.01508,6,0.1098617315,1.2485735416,0.11,-1.138,3.4554,3.39,0,0,0.545,0,0,0,0,0,-1,-5.62E-14,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,7.615,9.203,11.212,7.862
0.0152,0.01508,6,0.1200000122,1.3193155527,0.12,-1.057,3.4612,3.371,0,0,0.545,0,0,0,0,0,-1,-6.62E-14,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,7.413,8.951,10.907,7.623
0.0152,0.01508,6,0.135400176,1.4130986929,0.135,-0.953,3.4689,3.35,0,0,0.545,0,0,0,0,0,-1,-8.14E-14,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,7.152,8.632,10.529,7.319
0.0152,0.01508,6,0.1400000006,1.4384527206,0.14,-0.924,3.471,3.344,0,0,0.545,0,0,0,0,0,-1,-8.6E-14,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,7.081,8.546,10.428,7.237
0.0152,0.01508,6,0.1473688781,1.4768916368,0.147,-0.885,3.4742,3.34,0,0,0.545,0,0,0,0,0,-1,-9.22E-14,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,6.982,8.425,10.283,7.122
0.0152,0.01508,6,0.1649024487,1.5590895414,0.165,-0.809,3.4809,3.34,0,0,0.545,0,0,0,0,0,-1,-1.04E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,6.793,8.189,9.998,6.899
0.0152,0.01508,6,0.1705176085,1.583042264,0.17,-0.798,3.4826,3.35,0,0,0.545,0,0,0,0,0,-1,-1.04E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,6.765,8.145,9.94,6.86
0.0152,0.01508,6,0.1760640442,1.6057158709,0.176,-0.776,3.4849,3.351,0,0,0.545,0,0,0,0,0,-1,-1.07E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,6.71,8.075,9.852,6.794
0.0152,0.01508,6,0.1806975752,1.6239571571,0.181,-0.751,3.4871,3.346,0,0,0.545,0,0,0,0,0,-1,-1.12E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,6.648,7.999,9.76,6.723
0.0152,0.01508,6,0.1863481998,1.645396471,0.186,-0.717,3.49,3.337,0,0,0.545,0,0,0,0,0,-1,-1.21E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,6.561,7.897,9.64,6.627
0.0152,0.01508,6,0.1950441152,1.6767902374,0.195,-0.661,3.4944,3.318,0,0,0.545,0,0,0,0,0,-1,-1.38E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,6.422,7.74,9.463,6.476
0.0152,0.01508,6,0.2051213086,1.7109695673,0.205,-0.635,3.4973,3.327,0,0,0.545,0,0,0,0,0,-1,-1.41E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,6.359,7.657,9.361,6.399
0.0152,0.01508,6,0.2146187425,1.7412415743,0.215,-0.635,3.499,3.353,0,0,0.545,0,0,0,0,0,-1,-1.34E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,6.358,7.637,9.322,6.384
0.0152,0.01508,6,0.2241051644,1.769788146,0.224,-0.625,3.5015,3.371,0,0,0.545,0,0,0,0,0,-1,-1.31E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,6.332,7.589,9.254,6.343
0.0152,0.01508,6,0.2335195541,1.7966058254,0.234,-0.601,3.5047,3.378,0,0,0.545,0,0,0,0,0,-1,-1.35E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,6.272,7.508,9.151,6.269
0.0152,0.01508,6,0.2428210229,1.8217558861,0.243,-0.563,3.5086,3.373,0,0,0.545,0,0,0,0,0,-1,-1.45E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,6.177,7.393,9.012,6.161
0.0152,0.01508,6,0.2590910494,1.8628706932,0.259,-0.513,3.5141,3.373,0,0,0.545,0,0,0,0,0,-1,-1.58E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,6.053,7.235,8.817,6.015
0.0152,0.01508,6,0.2748019695,1.8995058537,0.275,-0.501,3.5173,3.4,0,0,0.545,0,0,0,0,0,-1,-1.53E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,6.023,7.174,8.725,5.964
0.0152,0.01508,6,0.290600121,1.9336966276,0.29,-0.491,3.5208,3.427,0,0,0.545,0,0,0,0,0,-1,-1.47E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,5.996,7.113,8.63,5.915
0.0152,0.01508,6,0.3151578009,1.9823096991,0.315,-0.455,3.5271,3.452,0,0,0.545,0,0,0,0,0,-1,-1.49E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,5.908,6.971,8.429,5.793
0.0152,0.01508,6,0.3399681151,2.0266623497,0.34,-0.425,3.533,3.478,0,0,0.545,0,0,0,0,0,-1,-1.49E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,5.832,6.844,8.248,5.685
0.0152,0.01508,6,0.3527808189,2.0479519367,0.353,-0.412,3.5359,3.493,0,0,0.545,0,0,0,0,0,-1,-1.49E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,5.8,6.788,8.165,5.638
0.0152,0.01508,6,0.3855731785,2.0981462002,0.386,-0.363,3.5444,3.516,0,0,0.545,0,0,0,0,0,-1,-1.55E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,5.677,6.601,7.906,5.478
0.0152,0.01508,6,0.4027824402,2.1223189831,0.403,-0.341,3.5485,3.53,0,0,0.545,0,0,0,0,0,-1,-1.57E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,5.622,6.513,7.783,5.404
0.0152,0.01508,6,0.4476481974,2.1794912815,0.447,-0.275,3.5599,3.555,0,0,0.545,0,0,0,0,0,-1,-1.68E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,5.457,6.253,7.423,5.185
0.0152,0.01508,6,0.4651119709,2.1997659206,0.465,-0.249,3.5643,3.564,0,0,0.545,0,0,0,0,0,-1,-1.73E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,5.393,6.151,7.284,5.101
0.0152,0.01508,6,0.4939227402,2.2311394215,0.494,-0.209,3.5713,3.578,0,0,0.545,0,0,0,0,0,-1,-1.82E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,5.293,5.992,7.067,4.969
0.0152,0.01508,6,0.5,2.2374541759,0.5,-0.201,3.5727,3.581,0,0,0.545,0,0,0,0,0,-1,-1.83E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,5.272,5.959,7.022,4.941
0.0152,0.01508,6,0.5032261014,2.2407553196,0.503,-0.197,3.5734,3.582,0,0,0.545,0,0,0,0,0,-1,-1.84E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,5.262,5.942,6.999,4.927
0.0152,0.01508,6,0.5193864703,2.2565844059,0.519,-0.174,3.577,3.588,0,0,0.545,0,0,0,0,0,-1,-1.9E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,5.205,5.851,6.876,4.852
0.0152,0.01508,6,0.5363373756,2.2720143795,0.536,-0.151,3.581,3.594,0,0,0.545,0,0,0,0,0,-1,-1.96E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,5.147,5.757,6.751,4.775
0.0152,0.01508,6,0.5500000119,2.2836582661,0.55,-0.133,3.5843,3.6,0,0,0.545,0,0,0,0,0,-1,-2E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,5.103,5.687,6.658,4.717
0.0152,0.01508,6,0.5511864424,2.2846381664,0.551,-0.132,3.5845,3.601,0,0,0.545,0,0,0,0,0,-1,-2E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,5.099,5.682,6.651,4.712
0.0152,0.01508,6,0.5714626312,2.3006634712,0.571,-0.105,3.5888,3.607,0,0,0.545,0,0,0,0,0,-1,-2.08E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,5.032,5.581,6.521,4.627
0.0152,0.01508,6,0.5928860307,2.3162331581,0.593,-0.077,3.5936,3.614,0,0,0.545,0,0,0,0,0,-1,-2.16E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,4.962,5.474,6.382,4.538
0.0152,0.01508,6,0.6000000238,2.3211214542,0.6,-0.067,3.5953,3.616,0,0,0.545,0,0,0,0,0,-1,-2.19E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,4.937,5.437,6.335,4.507
0.0152,0.01508,6,0.6135630608,2.330080986,0.613,-0.051,3.5978,3.62,0,0,0.545,0,0,0,0,0,-1,-2.23E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,4.898,5.378,6.259,4.457
0.0152,0.01508,6,0.6360216737,2.3439548016,0.636,-0.024,3.6023,3.627,0,0,0.545,0,0,0,0,0,-1,-2.31E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,4.831,5.278,6.132,4.373
0.0152,0.01508,6,0.6499999762,2.3520355225,0.65,-0.008,3.6052,3.631,0,0,0.545,0,0,0,0,0,-1,-2.37E-13,0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1,0.01527,4.789,5.216,6.053,4.321
