Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag
0.00015547,-2,8.47712,0.0936335474,1.1156111956,0.094,-2.845,3.5392,5.362,0,0,0.545,0,0,0,0,0,-1,-1.23E-16,0,0.7507,0.2491,2.943E-05,7.939E-06,7.201E-05,-1,0.0001636,11.882,16.729,15.019,13.301,12.133,11.134,10.076,9.678,9.56
0.00015547,-2,8.47712,0.0956507102,1.1337127686,0.095,-2.82,3.5421,5.358,0,0,0.545,0,0,0,0,0,-1,-1.3E-16,0,0.7507,0.2491,2.943E-05,7.939E-06,7.201E-05,-1,0.0001637,11.82,16.562,14.899,13.204,12.051,11.073,10.024,9.616,9.496
0.00015547,-2,8.47712,0.0981335416,1.1553233862,0.098,-2.786,3.5463,5.352,0,0,0.545,0,0,0,0,0,-1,-1.4E-16,0,0.7507,0.2491,2.943E-05,7.939E-06,7.201E-05,-1,0.0001636,11.734,16.334,14.734,13.073,11.94,10.991,9.953,9.533,9.408
0.00015547,-2,8.47712,0.1003665775,1.174161315,0.1,-2.753,3.5506,5.346,0,0,0.545,0,0,0,0,0,-1,-1.51E-16,0,0.7507,0.2491,2.943E-05,7.939E-06,7.201E-05,-1,0.0001637,11.651,16.104,14.569,12.943,11.831,10.911,9.885,9.452,9.323
0.00015547,-2,8.47712,0.1030207947,1.1958558559,0.103,-2.705,3.5571,5.335,0,0,0.545,0,0,0,0,0,-1,-1.68E-16,0,0.7507,0.2491,2.943E-05,7.939E-06,7.201E-05,-1,0.0001637,11.533,15.775,14.332,12.759,11.676,10.796,9.789,9.338,9.205
0.00015547,-2,8.47712,0.1035686582,1.2002434731,0.103,-2.695,3.5586,5.334,0,0,0.545,0,0,0,0,0,-1,-1.72E-16,0,0.7507,0.2491,2.943E-05,7.939E-06,7.201E-05,-1,0.0001636,11.508,15.703,14.28,12.719,11.644,10.772,9.769,9.315,9.181
0.00015547,-2,8.47712,0.1057607979,1.2175023556,0.105,-2.671,3.5611,5.328,0,0,0.545,0,0,0,0,0,-1,-1.81E-16,0,0.7507,0.2491,2.943E-05,7.939E-06,7.201E-05,-1,0.0001637,11.448,15.563,14.175,12.634,11.57,10.713,9.717,9.256,9.121
0.00015547,-2,8.47712,0.1234388798,1.3415665627,0.123,-2.468,3.582,5.277,0,0,0.545,0,0,0,0,0,-1,-2.83E-16,0,0.7507,0.2492,2.943E-05,7.939E-06,7.201E-05,-1,0.0001637,10.94,14.437,13.311,11.935,10.972,10.213,9.28,8.775,8.623
0.00015547,-2,8.47712,0.1325495541,1.3968172073,0.132,-2.396,3.588,5.259,0,0,0.545,0,0,0,0,0,-1,-3.29E-16,0,0.7506,0.2492,2.943E-05,7.939E-06,7.201E-05,-1,0.0001637,10.759,14.091,13.036,11.704,10.771,10.034,9.119,8.604,8.448
0.00015547,-2,8.47712,0.1433091164,1.4560320377,0.143,-2.31,3.5949,5.235,0,0,0.545,0,0,0,0,0,-1,-3.95E-16,0,0.7506,0.2493,2.943E-05,7.939E-06,7.201E-05,-1,0.0001637,10.544,13.7,12.719,11.434,10.535,9.82,8.926,8.402,8.241
