APOGEE_ID,RA,DEC,APOGEE_Net_Logg,mean_Logg,sd_Logg,APOGEE_Net_Teff,mean_Teff,sd_Teff,APOGEE_Net_FeH,mean_FeH,sd_FeH,SNR,star_path,telescope,field,survey,programname,targflags,nvisits_,combtype,starflag,starflags,andflag,andflags,vhelio_avg,vscatter,verr,l,b,sagitta_predicted_av,sagitta_predicted_pms,sagitta_predicted_age,GEDR3_source_id,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,ra_error,dec_error,parallax,parallax_error,parallax_corr,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_mag_corrected,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_error_corrected,phot_bp_rp_excess_factor_corrected,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,Av_med,Av_low,Av_high,mass,mass_low,mass_high,chi2_mass,age,age_low,age_high,chi2_age,lgL,lgL_e,T,Te,lgg,lgg_e,j_k,PC1,PC2,PC3,hdbcluster,hdb_membership_prob,hdb_outlier_scores,AllWISE,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,d2M,kk,logmeanTef
2M20185889+3735567,304.7454,37.5991,2.128,2.1285,0.0378,4351.9917,4353.1436,20.6085,-0.0034,0.0009,0.014,115.2381,/uufs/chpc.utah.edu/common/home/sdss/apogeework/apogee/spectro/redux/dr17/stars/apo25m/CygnusX_S_btx/apStar-dr17-2M20185889+3735567.fits,apo25m,CygnusX_S_btx,apogee2-manga,yso_btx,"APOGEE2_YOUNG_CLUSTER,APOGEE2_",3,0,2052,"BRIGHT_NEIGHBOR,PERSIST_LOW",4,BRIGHT_NEIGHBOR,-13.260855,0.05768532,0.029304262,75.6007536800793,0.880325688903312,2.3402815,0.00016540245,NA,2.06065600503794E+018,304.7454190918,37.59911975278,0.0013338,0.0011611,20.15,0.056,0.0625,0.1412,0.0715,0.141245845140235,1.9767,4.595,-2.684,0.073,-3.73,0.081,374,1.2703,738.51,0.524,11.48,95,1.1678,0.0199,25,1.046,false,18.15978,15.431753,16.953678,0.066502,0.007411,0.003963,0.547,2.728027,NA,NA,0,NA,NA,1.5311304745424E+017,NA,NA,NA,4823.064,3714.4497,7066.985,5001.8525,4377.8906,5831.847,5.59,5.52,5.67,0.85,0.668,27.158,65.833,22.131,5.755,88.111,50.154,-0.542,3.021,4355.118,21.602,4.426,2.29,1.124,0.640306555748898,1.1961414480894,-0.331274309505324,0,0,0.839536127765726,J201858.89+373557.3,10.15,10.185,10.083,8.748,11.811,11.137,10.687,0.023,0.021,0.105,0.045,0.035,3.05013780135101E+018,0,1,110n,AAAU,0.531,0.885211547222778,3.6388,3.63880299375031,3.63880299375031
2M20195377+3809579,304.974,38.1661,1.8626,1.8826,0.1082,4135.8467,4131.3867,50.2179,0.1032,0.1108,0.045,36.9088,/uufs/chpc.utah.edu/common/home/sdss/apogeework/apogee/spectro/redux/dr17/stars/apo25m/CygnusX_S_btx/apStar-dr17-2M20195377+3809579.fits,apo25m,CygnusX_S_btx,apogee2-manga,yso_btx,"APOGEE2_YOUNG_CLUSTER,APOGEE2_",1,0,2048,PERSIST_LOW,2048,PERSIST_LOW,-82.69526,0,0.033709697,76.1706661211268,1.05160358640324,0.5054194,0.18240993,NA,2.06108333710167E+018,304.97401705758,38.16609220614,0.0068406,0.004932,166.95,0.2485,0.3105,-0.1614,0.3445,-0.161360609219268,-0.4684,5.105,-1.774,0.314,-4.787,0.417,364,2.3199,504.35,1.683,3.962,95,1.0638,0.0791,25,1.087,false,21.42959,18.044622,19.599059,0.221534,0.017389,0.004474,0.404,3.384968,NA,NA,0,NA,NA,1.537930497401E+017,NA,NA,NA,3970.1711,2713.32,6446.95,4931.8623,3367.887,8976.167,7.08,6.95,7.16,0.715,0.635,20.004,465.743,13.964,6.383,124.46,61.281,-0.358,2.948,4150.495,51.513,4.34,2.225,1.706,0.867361893067046,1.47444935401104,-0.332425803649095,0,0,0.851123994077771,J201953.80+380957.4,11.311,11.345,11.844,8.237,13.633,12.642,11.927,0.025,0.025,0.049,3.05013780135104E+018,0h00,1,00nn,AAUU,0.63,0.819157172367812,3.6161,3.61609584707443,3.61609584707443,,
2M20320923+4017394,308.0385,40.2943,3.8912,3.84,0.1577,3461.9351,3512.7329,57.6795,-0.0679,-0.0736,0.0338,43.2989,/uufs/chpc.utah.edu/common/home/sdss/apogeework/apogee/spectro/redux/dr17/stars/apo25m/CygnusX_C_btx/apStar-dr17-2M20320923+4017394.fits,apo25m,CygnusX_C_btx,apogee2-manga,yso_btx,"APOGEE2_YOUNG_CLUSTER,APOGEE2_",4,0,16777216,MTPFLUX_LT_75,16777216,MTPFLUX_LT_75,-15.071201,0.45642877,0.15843679,79.2802098269669,0.348774827607157,1.2053803,0.7298017,6.063602,2.0647133403745E+018,308.03835757435,40.29421608376,0.0026005,0.0020317,176.55,0.0946,0.1206,1.1665,0.1284,1.20505678890177,9.086,4.539,-2.157,0.126,-3.994,0.16,379,3.2691,534.23,0.686,4.626,31,NA,NA,25,1.121,false,20.432777,16.741829,18.192266,0.085282,0.015786,0.003925,0.113,3.690949,NA,NA,0,NA,NA,1.56353080383394E+017,NA,NA,652408651,874.75507,763.3364,973.1028,864.081,781.3878,933.98254,3.13,2.98,3.3,0.292,0.261,0.33,4.989,0.302,0.133,0.724,1.073,-0.147,0.124,3457.006,61.479,3.156,0.169,1.567,-0.44981106507446,-0.505020915627867,-0.255284297119921,3,0.079543189698844,0.82108776928386,J203209.23+401739.2,11.445,10.817,7.977,4.266,13.958,12.898,12.391,0.062,0.051,0.432,0.034,0.033,0.027,3.08514080135101E+018,00hD,0,nnnn,AACU,0.198,1.23565646367025,3.54565,3.54564512831005
2M20322151+4011045,308.0896,40.1846,4.2969,4.3092,0.1512,3675.4854,3826.0164,163.7985,-0.0982,-0.1071,0.0751,44.5093,/uufs/chpc.utah.edu/common/home/sdss/apogeework/apogee/spectro/redux/dr17/stars/apo25m/CygnusX_C_btx/apStar-dr17-2M20322151+4011045.fits,apo25m,CygnusX_C_btx,apogee2-manga,yso_btx,"APOGEE2_YOUNG_CLUSTER,APOGEE2_",6,0,50331648,"MTPFLUX_LT_75,MTPFLUX_LT_50",16777216,MTPFLUX_LT_75,-7.625741,1.1190794,0.27835047,79.214999746845,0.25232145336046,2.5152218,0.1142828,NA,2.06471148924548E+018,308.08962630259,40.18460723942,0.0013671,0.0011624,169.88,0.0572,0.0646,0.8846,0.0733,0.884637081826058,12.0706,5.631,-1.207,0.073,-5.5,0.084,418,1.3669,675.27,0.516,8.545,95,1.1979,0.0172,27,1.047,false,19.03182,15.910982,17.180933,0.030208,0.005637,0.003037,0.024,3.120838,NA,NA,0,NA,NA,1.56223080896272E+017,1.23766315122223E+018,NA,651408720,1066.106,986.00397,1190.2103,1036.2698,956.6683,1117.9738,1.74,1.37,2.09,0.4,0.312,0.519,9.386,0.61,0.432,0.881,22.853,-0.1,0.102,3653.424,169.323,3.331,0.165,1.154,-0.348758296525663,-0.725535251899692,0.101825113306258,3,0.212460345856856,0.790891823233944,J203221.46+401104.3,12.632,12.826,10.746,8.464,13.952,13.09,12.798,0.069,0.108,0.028,0.026,0.029,3.08514080135101E+018,00DH,1,41nn,AAUU,0.601,1.74471334130024,3.58275,3.58274682727367,3.58274682727367
2M20194918+3820337,304.9549,38.3427,4.3992,4.4027,0.0066,7250.3701,7254.5063,11.8865,-0.8971,-0.8982,0.005,1878.7653,/uufs/chpc.utah.edu/common/home/sdss/apogeework/apogee/spectro/redux/dr17/stars/apo25m/CygnusX_S_btx/apStar-dr17-2M20194918+3820337.fits,apo25m,CygnusX_S_btx,apogee2-manga,yso_btx,"APOGEE2_NO_DERED,APOGEE2_TELLURIC",9,0,3072,"PERSIST_MED,PERSIST_LOW",0,-26.640152,30.18438,1.0623971,76.3078570709633,1.16384751879809,1.1587409,3.3454323E-11,NA,2.06108980103361E+018,304.95492781639,38.34271441289,0.0003435,0.0002869,144.11,0.0139,0.0156,0.9676,0.0177,0.992793694911584,54.813,7.93,-2.015,0.019,-7.67,0.02,380,-0.4718,1122.2,0.149,20.01,31,NA,NA,28,0.982,true,7.479662,7.047293,7.335994,0.002996,0.003843,0.002768,0.009,0.432369,NA,NA,0,NA,NA,NA,NA,NA,642415303,1003.3816,988.9077,1021.9844,1007.4861,990.4967,1018.8335,-0.05,-0.07,-0.01,4.528,4.507,4.528,2.833,131.835,131.835,133.361,3.49,2.967,0.012,7261.061,12.718,2.525,0.05,0.042,0.010255955611505,-1.14365717298622,-0.084351304124244,3,0.145629856191732,0.807248670377462,J201949.27+382032.7,5.926,6.436,6.587,5.835,6.732,6.704,6.69,0.052,0.023,0.019,0.051,0.019,0.02,0.016,3.05013780135105E+018,0hh0,1,3210,AAAA,1.475,1.18203309692671,3.86061,3.86060786219328
2M20192172+4053164,304.8405,40.8879,4.4231,4.4255,0.0092,7186.5264,7194.0039,15.0017,-0.8958,-0.8981,0.0052,1101.8266,/uufs/chpc.utah.edu/common/home/sdss/apogeework/apogee/spectro/redux/dr17/stars/apo25m/CygnusX_C_btx/apStar-dr17-2M20192172+4053164.fits,apo25m,CygnusX_C_btx,apogee2-manga,yso_btx,"APOGEE2_NO_DERED,APOGEE2_TELLURIC,APOGEE2_YOUNG_CLUSTER,APOGEE2_",6,0,2048,PERSIST_LOW,0,-3.5045457,77.98393,0.6468456,78.3602534525104,2.67329858101306,0.9293171,3.4576036E-07,NA,2.06835571315915E+018,304.84046835958,40.88790523162,0.0003486,0.0002798,169.34,0.013,0.0163,0.9809,0.0169,1.00174989243349,58.1209,6.648,-2.5,0.018,-6.16,0.021,392,0.3,1060.01,0.137,18.08,31,NA,NA,29,1.01,false,8.547403,8.083276,8.391129,0.003,0.003897,0.002785,0.01,0.464128,NA,NA,0,NA,NA,NA,NA,NA,655398070,996.56116,981.65173,1013.51245,996.9522,981.84064,1016.52856,-0.01,-0.03,0.01,5.594,3.42,5.601,688.112,0.269,0.269,269.178,868.333,2.538,0.02,7192.833,18.178,3.021,0.093,0.03,-0.120763052726257,-1.01878322058587,0.064288701727458,3,0.185457193329484,0.7978240310267,J201921.71+405316.3,7.754,7.818,7.944,4.927,7.801,7.773,7.771,0.025,0.02,0.035,0.067,0.024,0.033,0.02,3.04614080135102E+018,00hH,1,011n,AAAA,0.168,8.27493627618426,3.85697,3.85697066892147
2M20215113+3937514,305.4631,39.631,4.4346,4.442,0.0268,7646.4097,7641.7764,55.6692,-0.9237,-0.9325,0.0179,527.8645,/uufs/chpc.utah.edu/common/home/sdss/apogeework/apogee/spectro/redux/dr17/stars/apo25m/CygnusX_S_btx/apStar-dr17-2M20215113+3937514.fits,apo25m,CygnusX_S_btx,apogee2-manga,yso_btx,"APOGEE2_YOUNG_CLUSTER,APOGEE2_",3,0,50331648,"MTPFLUX_LT_75,MTPFLUX_LT_50",0,-42.224426,15.203412,0.9273716,77.5931366468184,1.56972814375529,2.556262,1.8349293E-06,NA,2.06144861978025E+018,305.46312450676,39.63096698946,0.0001818,0.000167,168.46,0.0075,0.0089,0.5926,0.01,0.61756476946401,58.9796,7.229,-3.379,0.01,-6.391,0.011,435,-2.1919,712.01,0.061,5.521,31,NA,NA,29,0.925,false,10.992649,9.435375,10.27409,0.003043,0.003922,0.002804,0.008,1.557274,NA,NA,0,NA,NA,NA,NA,NA,649405049,1627.4799,1601.7994,1656.8556,1620.1256,1595.0101,1643.9344,2.89,2.86,2.94,5.128,5.078,5.203,60.265,97.73,94.413,101.165,21.867,3.175,0.023,7640.117,51.97,2.457,0.015,0.435,0.300709844430324,-0.861199821791901,0.412641455644683,3,0.358888587046141,0.743132039328249,J202151.14+393751.4,7.629,7.67,7.642,5.53,8.269,7.975,7.834,0.025,0.02,0.023,0.061,0.02,0.02,0.018,3.05813930135104E+018,0h00,1,1100,AAAA,0.13,1.23233480162264,3.88319,3.88319432598955
2M20190722+3841145,304.7801,38.6874,3.2175,3.2079,0.0517,4852.5723,4844.6885,20.9601,-0.0597,-0.0572,0.0117,135.1913,/uufs/chpc.utah.edu/common/home/sdss/apogeework/apogee/spectro/redux/dr17/stars/apo25m/CygnusX_S_btx/apStar-dr17-2M20190722+3841145.fits,apo25m,CygnusX_S_btx,apogee2-manga,yso_btx,"APOGEE2_YOUNG_CLUSTER,APOGEE2_",4,0,4,BRIGHT_NEIGHBOR,0,-27.990208,0.09750027,0.03731582,76.5151888736642,1.47135454763762,2.4198465,0.28641203,NA,2.06129702462681E+018,304.78009833055,38.68736887248,0.0003491,0.0003174,169.1,0.015,0.0166,0.5532,0.0195,0.585538588777646,28.3,12.214,-5.886,0.02,-10.702,0.022,454,0.4741,466.07,0,0,31,NA,NA,28,1.015,false,15.998894,14.136332,15.08058,0.003292,0.003836,0.002771,-0.001,1.862562,NA,NA,0,NA,NA,1.54423047800935E+017,NA,NA,644411306,1728.6301,1682.3368,1770.215,1708.4661,1657.0358,1766.6411,1.77,1.73,1.8,1.6,1.55,1.649,60.283,0.385,0.359,0.407,24.92,0.959,0.024,4857.356,23.624,3.382,0.023,0.856,1.62858586893279,-0.753614063100194,-0.583752042603148,0,0,0.928745812426556,J201907.23+384114.8,11.627,11.717,12.196,8.489,12.701,12.23,11.845,0.024,0.024,0.021,0.031,0.018,3.038139301351E+018,0o00,1,11nn,AAUU,0.333,0.723038221245632,3.68527,3.68526585835682,3.68526585835682,
2M20220878+3958160,305.5366,39.9711,4.5375,4.5547,0.0337,7557.5986,7548.1602,65.1758,-0.9572,-0.9661,0.0213,396.3447,/uufs/chpc.utah.edu/common/home/sdss/apogeework/apogee/spectro/redux/dr17/stars/apo25m/CygnusX_S_btx/apStar-dr17-2M20220878+3958160.fits,apo25m,CygnusX_S_btx,apogee2-manga,yso_btx,"APOGEE2_YOUNG_CLUSTER,APOGEE2_",3,0,50333696,"PERSIST_LOW,MTPFLUX_LT_75,MTPFLUX_LT_50",0,-48.142147,24.747261,0.8515239,77.9049179210662,1.71713440375889,2.575119,1.082968E-09,NA,2.0675058636911E+018,305.53663920474,39.97113303568,0.000229,0.0001984,161.19,0.0098,0.011,0.578,0.0125,0.607003664434594,46.1785,6.928,-3.554,0.013,-5.947,0.014,437,3.0705,1280.51,0.109,18.75,31,NA,NA,27,1.105,false,11.90376,9.927542,10.916925,0.002966,0.003834,0.002795,0.008,1.976218,NA,NA,0,NA,NA,NA,NA,NA,650401742,1650.0803,1616.5437,1691.4125,1648.858,1615.1978,1686.1509,3.62,3.57,3.66,5.103,5.029,5.178,34.304,98.862,95.506,102.336,7.097,3.167,0.024,7570.073,79.48,2.457,0.021,0.539000000000001,0.254662992514967,-0.879063003336116,0.534992534979565,3,0.438740983026358,0.706586484620208,J202208.79+395815.9,7.829,7.837,6.437,1.912,8.509,8.148,7.97,0.025,0.022,0.035,0.023,0.018,0.018,0.016,3.05813930135105E+018,0hdd,1,111n,AAAA,0.191,1.19863506783746,3.87784,3.87784110893297
2M20220545+4059080,305.5227,40.9856,4.4056,4.4094,0.0048,7481.8701,7491.8242,9.3948,-0.9394,-0.942,0.0028,1316.5397,/uufs/chpc.utah.edu/common/home/sdss/apogeework/apogee/spectro/redux/dr17/stars/apo25m/CygnusX_C_btx/apStar-dr17-2M20220545+4059080.fits,apo25m,CygnusX_C_btx,apogee2-manga,yso_btx,"APOGEE2_NO_DERED,APOGEE2_TELLURIC,APOGEE2_YOUNG_CLUSTER,APOGEE2_",8,0,2048,PERSIST_LOW,0,14.8345785,55.9451,1.0297759,78.7330572331834,2.30395361388482,1.0489022,2.7400474E-10,NA,2.06832200625858E+018,305.52267978498,40.98560378136,0.0003692,0.0003084,4.08,0.0148,0.0182,0.9696,0.0197,0.990353584531108,49.3351,6.269,-1.685,0.019,-6.038,0.023,399,-3.5923,1149.93,0.17,23.61,31,NA,NA,28,0.874,true,8.279588,8.083122,8.232661,0.002897,0.003794,0.002783,0.015,0.196465,NA,NA,0,NA,NA,NA,NA,NA,655399689,1004.707,983.9377,1026.1675,1016.2037,991.97394,1043.0118,-0.49,-0.52,-0.47,4.987,3.317,5.149,163.566,0.412,0.372,291.77,953.667,2.471,0.026,7481.696,11.666,3.127,0.095,-0.05,-0.268982789320908,-0.935364439607147,0.052756431457143,3,0.170031506439802,0.801581647391898,J202205.43+405908.1,8.007,8.063,7.65,4.783,7.972,8.013,8.022,0.024,0.02,0.026,0.203,0.02,0.015,0.016,3.04614080135102E+018,hh00,0,nnnn,AAAB,0.184,2.69213736331725,3.87459,3.87458757785086
