APOGEE_ID,RA,DEC,APOGEE_Net_Logg,mean_Logg,sd_Logg,APOGEE_Net_Teff,mean_Teff,sd_Teff,APOGEE_Net_FeH,mean_FeH,sd_FeH,SNR,star_path,telescope,field,survey,programname,targflags,nvisits_,combtype,starflag,starflags,andflag,andflags,vhelio_avg,vscatter,verr,l,b,sagitta_predicted_av,sagitta_predicted_pms,sagitta_predicted_age,GEDR3_source_id,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,ra_error,dec_error,parallax,parallax_error,parallax_corr,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_mag_corrected,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_error_corrected,phot_bp_rp_excess_factor_corrected,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,Av_med,Av_low,Av_high,mass,mass_low,mass_high,chi2_mass,age,age_low,age_high,chi2_age,lgL,lgL_e,T,Te,lgg,lgg_e,j_k,PC1,PC2,PC3,hdbcluster,hdb_membership_prob,hdb_outlier_scores,AllWISE,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,d2M,kk,logmeanTef
2M20405366+4157359,310.2236,41.96,4.0998,3.9091,0.219,2973.3438,3183.21,109.3782,-0.2873,-0.3418,0.0883,69.0786,/uufs/chpc.utah.edu/common/home/sdss/apogeework/apogee/spectro/redux/dr17/stars/apo25m/CygnusX_N_btx/apStar-dr17-2M20405366+4157359.fits,apo25m,CygnusX_N_btx,apogee2-manga,yso,"APOGEE2_YOUNG_CLUSTER,APOGEE2_",1,0,0,0,-534.61285,0,0.3213565,81.6012024013833,0.039033891344533,3.0152867,0.017716149,NA,2.06636913616664E+018,310.2235964878,41.95994465826,0.002138,0.0019133,23.97,0.0872,0.0953,0.5833,0.1116,0.583288508277163,5.2269,4.162,-2.776,0.121,-3.102,0.13,387,-0.1491,527.7,0.543,3.378,95,1.1443,0.0276,27,0.994,false,20.401392,16.638403,18.050377,0.062141,0.007726,0.003273,0.078,3.762989,NA,NA,0,NA,NA,1.58353102235963E+017,1.23766314746492E+018,NA,660390461,1604.9037,1390.3597,1956.9071,1565.2662,1330.7158,1815.3003,3.32,2.54,4,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,2.727,-0.115823143128678,-0.104385663513546,0.383652662294852,3,0.417029855727102,0.717513867859839,J204053.66+415735.6,9.656,8.91,5.416,2.462,13.34,11.756,10.613,0.026,0.023,0.02,0.072,0.024,0.021,0.017,3.09414240135101E+018,00ph,1,2230,AAAA,0.234,0.819047110597445,3.50287,3.50286529046919,3.50286529046919
2M20245532+3910324,306.2305,39.1757,4.1926,4.2418,0.1335,3322.6113,3340.5957,54.1773,-0.0035,-0.0126,0.0274,49.8009,/uufs/chpc.utah.edu/common/home/sdss/apogeework/apogee/spectro/redux/dr17/stars/apo25m/CygnusX_S_btx/apStar-dr17-2M20245532+3910324.fits,apo25m,CygnusX_S_btx,apogee2-manga,yso_btx,"APOGEE2_YOUNG_CLUSTER,APOGEE2_",4,0,16777216,MTPFLUX_LT_75,0,-14.909714,0.67802775,0.1977998,77.5598346336527,0.822873772862108,2.4808676,0.5927337,NA,2.06722352542183E+018,306.23053128095,39.17570703733,0.0038576,0.0035039,6.29,0.161,0.196,0.8209,0.2207,0.820949969025951,3.7195,4.035,-0.446,0.219,-4.01,0.24,374,3.9252,728.36,1.548,10.99,95,1.0359,0.0531,26,1.147,false,21.078255,17.045137,18.753508,0.117655,0.013212,0.004841,0.542,4.033117,NA,NA,0,NA,NA,1.55013062305401E+017,NA,NA,646417365,1369.3716,1069.2881,2147.4753,1672.0645,1329.4608,2102.1304,3.45,3.34,3.62,0.228,0.213,0.25,54.602,0.101,0.1,0.112,1536.667,-0.098,0.071,3323.533,58.294,2.943,0.051,1.686,-0.626452459825691,-0.419019639243377,0.227845507580377,3,0.195822489450484,0.795218121560858,J202455.32+391032.5,11.88,11.069,10.626,8.24,14.161,13.054,12.475,0.028,0.023,0.027,0.026,0.024,3.05813930135102E+018,0hPd,0,01nn,AAUU,0.095,1.12997594074697,3.52382,3.52382391775611,,3.52382391775611
2M20391254+4213579,309.8023,42.2328,4.2101,4.1937,0.0745,3346.6128,3372.5535,38.2323,-0.1041,-0.1086,0.0335,143.0839,/uufs/chpc.utah.edu/common/home/sdss/apogeework/apogee/spectro/redux/dr17/stars/apo25m/CygnusX_N_btx/apStar-dr17-2M20391254+4213579.fits,apo25m,CygnusX_N_btx,apogee2-manga,yso,"APOGEE2_YOUNG_CLUSTER,APOGEE2_",3,0,4,BRIGHT_NEIGHBOR,0,-28.332443,24.79788,0.2513313,81.6263417428326,0.453175951769945,2.6965973,0.7387492,5.9730616,2.06643637817762E+018,309.80226908706,42.23278264765,0.0079131,0.0068819,8.29,0.3155,0.3922,0.8932,0.4294,0.893221236443887,2.0802,5.013,-2.744,0.434,-4.196,0.497,366,4.018,518.82,2.327,5.388,95,1.2352,0.0946,25,1.152,false,21.120245,18.321302,19.975303,0.174633,0.030374,0.011032,0.779,2.798943,NA,NA,0,NA,NA,1.5867309802275E+017,1.23766320115306E+018,NA,NA,1549.3447,1024.8003,2475.6575,1449.8175,974.29205,2384.9988,5.88,5.74,5.99,0.236,0.225,0.25,0.167,0.104,0.1,0.111,1633.667,-0.094,0.165,3346.571,40.437,2.944,0.189,3.126,-0.23300038439811,-0.604834544602039,0.184954759052989,3,0.30421829247478,0.763315161310311,J203912.53+421357.9,9.078,8.377,5.645,3.727,14.038,12.018,10.912,0.023,0.021,0.038,0.085,0.029,0.028,0.023,3.09414240135101E+018,HHHd,1,nnn2,AAAA,0.079,1.07943377584979,3.52796,3.5279588477644
2M20362089+4058584,309.0871,40.9829,1.6788,1.6553,0.1061,3401.9863,3405.5007,23.1464,-0.1758,-0.1882,0.0272,81.9411,/uufs/chpc.utah.edu/common/home/sdss/apogeework/apogee/spectro/redux/dr17/stars/apo25m/CygnusX_N_btx/apStar-dr17-2M20362089+4058584.fits,apo25m,CygnusX_N_btx,apogee2-manga,yso,"APOGEE2_YOUNG_CLUSTER,APOGEE2_",2,0,16777220,"BRIGHT_NEIGHBOR,MTPFLUX_LT_75",4,BRIGHT_NEIGHBOR,-41.040035,0.30226535,0.062993795,80.3077857210675,0.122057668262252,2.7668533,0.85537046,6.1637964,2.06484363679805E+018,309.08702644724,40.9828876475,0.0098672,0.0071496,135.64,0.394,0.3738,0.3692,0.4454,0.369171828118211,0.8289,5.536,-0.742,0.524,-5.486,0.536,298,4.2156,462.07,2.406,5.742,95,1.1692,0.1068,25,1.178,false,21.38924,17.794312,19.661646,0.231553,0.027958,0.005115,0.991,3.594929,NA,NA,0,NA,NA,1.5718309087094E+017,1.23766314853827E+018,NA,NA,1952.2393,1283.0931,3012.723,1889.3811,1482.4896,2620.1228,7.15,7.06,7.25,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,2.705,0.50462541202727,1.25312671672207,-1.01268687443909,0,0,0.890209104743568,J203620.88+405858.3,8.466,6.632,3.434,1.587,13.122,11.476,10.417,0.023,0.021,0.013,0.027,0.024,0.017,0.016,3.08514080135102E+018,000h,0,3010,AAAA,0.082,0.918614892015632,3.53218097388778
2M20312695+4110130,307.8623,41.1703,4.3906,4.1348,0.1873,3149.4817,3415.4072,155.469,-0.234,-0.3534,0.1029,75.6429,/uufs/chpc.utah.edu/common/home/sdss/apogeework/apogee/spectro/redux/dr17/stars/apo25m/CygnusX_C_btx/apStar-dr17-2M20312695+4110130.fits,apo25m,CygnusX_C_btx,apogee2-manga,yso_btx,"APOGEE2_YOUNG_CLUSTER,APOGEE2_",1,0,0,0,-526.5497,0,0.34857982,79.9073457024069,0.974840379295989,2.825602,0.82687336,6.6977687,2.0678255123355E+018,307.86228708328,41.17025714269,0.0010448,0.000915,156.46,0.044,0.0499,0.4463,0.0581,0.490402918251871,7.6815,5.715,-2.805,0.059,-4.98,0.064,412,1.9577,488.38,0.075,0.1935,31,NA,NA,26,1.069,false,18.529982,15.946966,17.133654,0.013066,0.004671,0.002883,0.037,2.583015,NA,NA,0,NA,NA,1.57403078623135E+017,1.23766314961207E+018,NA,656399136,2043.6545,1879.741,2258.0388,1995.7946,1759.5918,2273.7537,5.47,5.05,5.81,2.639,1.614,3.313,59.291,0.266,0.15,0.716,29.997,1.352,0.11,5064.073,332.011,3.275,0.193,2.633,0.17327600154929,-0.376682444069114,0.468292860584039,3,0.578057114220424,0.609707885216312,J203126.94+411012.8,9.284,8.695,7.404,5.374,13.317,11.838,10.684,0.022,0.02,0.024,0.073,0.026,0.019,0.014,3.08514080135103E+018,000d,0,0,AAAA,0.171,0.757463878218221,3.53344,3.53344248961946,3.53344248961946
2M20225940+3814441,305.7475,38.2456,0.5995,0.6024,0.0188,3437.7424,3440.6887,12.3894,-0.4439,-0.443,0.0114,372.5296,/uufs/chpc.utah.edu/common/home/sdss/apogeework/apogee/spectro/redux/dr17/stars/apo25m/CygnusX_S_btx/apStar-dr17-2M20225940+3814441.fits,apo25m,CygnusX_S_btx,apogee2-manga,yso_btx,"APOGEE2_YOUNG_CLUSTER,APOGEE2_",3,0,10240,"PERSIST_LOW,PERSIST_JUMP_NEG",8192,PERSIST_JUMP_NEG,-71.08609,7.788607,0.08757264,76.5819463710752,0.597029617978748,0.47169533,0.042683642,NA,2.06112058305478E+018,305.74752814721,38.24559060808,0.0058624,0.0051107,18.31,0.2586,0.3127,-0.68,0.3894,-0.679964764445237,-1.7461,5.829,-3.071,0.327,-4.954,0.356,346,2.655,483.24,1.649,3.666,95,1.0764,0.085,28,1.103,false,21.567295,17.999115,19.726395,0.28133,0.078554,0.028106,0.689,3.56818,NA,NA,0,NA,NA,1.53893057475315E+017,NA,NA,NA,4684.8574,2595.8433,7087.2876,6768.1533,3926.719,8883.711,11.78,11.72,11.86,3.724,3.543,4.287,6.344,248.336,169.836,285.128,17.191,3.912,0.411,3438.746,11.268,0.193,0.284,3.897,1.73576174154634,2.48593198897377,-0.610388077717121,0,0,0.93694458501598,J202259.42+381444.2,5.713,4.298,3.341,2.824,10.737,8.427,6.84,0.154,0.166,0.013,0.02,0.02,0.016,0.018,3.05013780135105E+018,0o00,0,11,BBAA,0.2,0.860270048416838,3.53664538113938
2M20162973+3926326,304.1239,39.4424,4.1145,4.0905,0.1889,3406.3735,3473.1125,96.1862,-0.022,-0.051,0.0457,33.9342,/uufs/chpc.utah.edu/common/home/sdss/apogeework/apogee/spectro/redux/dr17/stars/apo25m/CygnusX_S_btx/apStar-dr17-2M20162973+3926326.fits,apo25m,CygnusX_S_btx,apogee2-manga,yso_btx,"APOGEE2_YOUNG_CLUSTER,APOGEE2_",4,0,2097152,MULTIPLE_SUSPECT,0,-13.408938,2.4287102,0.5331992,76.8548147153478,2.31656571256994,2.2291014,0.9668228,5.8836946,2.06213543229132E+018,304.12393226869,39.44236513642,0.0040422,0.0039637,127.77,0.1929,0.1981,0.5524,0.239,0.552402063215489,2.3113,6.052,-3.687,0.252,-4.799,0.25,379,2.0448,497.7,1.064,2.856,95,1.1856,0.0552,26,1.075,false,21.16411,17.76923,19.252672,0.133953,0.019048,0.005621,0.279,3.39488,NA,NA,0,NA,NA,1.55333041238802E+017,NA,NA,NA,3482.0474,1782.627,6435.537,6466.644,3760.5068,8206.616,3.9,3.25,4.46,0.259,0.228,0.295,5.447,0.106,0.1,0.115,1601,-0.031,0.288,3415.073,98.07,2.961,0.327,2.638,0.247941336669427,-0.453115111620637,0.391520145899726,3,0.551724933068416,0.632634082604517,J201629.72+392632.8,10.137,8.851,6.81,4.466,14.73,13.134,12.092,0.022,0.019,0.028,0.036,0.043,0.03,0.026,3.03813930135102E+018,0h00,1,1200,AAAA,0.305,0.905242236339424,3.54072,3.5407188510729
2M20320923+4017394,308.0385,40.2943,3.8912,3.84,0.1577,3461.9351,3512.7329,57.6795,-0.0679,-0.0736,0.0338,43.2989,/uufs/chpc.utah.edu/common/home/sdss/apogeework/apogee/spectro/redux/dr17/stars/apo25m/CygnusX_C_btx/apStar-dr17-2M20320923+4017394.fits,apo25m,CygnusX_C_btx,apogee2-manga,yso_btx,"APOGEE2_YOUNG_CLUSTER,APOGEE2_",4,0,16777216,MTPFLUX_LT_75,16777216,MTPFLUX_LT_75,-15.071201,0.45642877,0.15843679,79.2802098269669,0.348774827607157,1.2053803,0.7298017,6.063602,2.0647133403745E+018,308.03835757435,40.29421608376,0.0026005,0.0020317,176.55,0.0946,0.1206,1.1665,0.1284,1.20505678890177,9.086,4.539,-2.157,0.126,-3.994,0.16,379,3.2691,534.23,0.686,4.626,31,NA,NA,25,1.121,false,20.432777,16.741829,18.192266,0.085282,0.015786,0.003925,0.113,3.690949,NA,NA,0,NA,NA,1.56353080383394E+017,NA,NA,652408651,874.75507,763.3364,973.1028,864.081,781.3878,933.98254,3.13,2.98,3.3,0.292,0.261,0.33,4.989,0.302,0.133,0.724,1.073,-0.147,0.124,3457.006,61.479,3.156,0.169,1.567,-0.44981106507446,-0.505020915627867,-0.255284297119921,3,0.079543189698844,0.82108776928386,J203209.23+401739.2,11.445,10.817,7.977,4.266,13.958,12.898,12.391,0.062,0.051,0.432,0.034,0.033,0.027,3.08514080135101E+018,00hD,0,nnnn,AACU,0.198,1.23565646367025,3.54565,3.54564512831005
2M20244919+4217563,306.205,42.299,4.4133,4.3349,0.14,3491.5588,3527.5249,57.6019,0.0462,0.04,0.0254,41.6447,/uufs/chpc.utah.edu/common/home/sdss/apogeework/apogee/spectro/redux/dr17/stars/apo25m/CygnusX_C_btx/apStar-dr17-2M20244919+4217563.fits,apo25m,CygnusX_C_btx,apogee2-manga,yso_btx,"APOGEE2_YOUNG_CLUSTER,APOGEE2_",3,0,0,0,-9.704847,0.29207575,0.15189497,80.1031299011482,2.63766206721401,1.3617721,0.8660221,6.922257,2.06886523802269E+018,306.20499548131,42.29896798312,0.0010399,0.0009278,145.91,0.0435,0.0512,0.8975,0.0567,0.933365511271485,15.828,6.997,-2.465,0.06,-6.548,0.063,361,1.8282,425.79,0.232,2.136,31,NA,NA,26,1.068,false,17.999784,15.748486,16.839802,0.032183,0.016221,0.006637,0.029,2.251299,NA,NA,0,NA,NA,1.58753062049849E+017,NA,NA,662380218,1069.1028,1014.0072,1147.3994,1090.8212,1015.06433,1164.7054,0.82,0.65,1.07,0.313,0.28,0.348,5.755,0.596,0.347,0.7,37.273,-0.2,0.061,3481.77,60.921,3.263,0.075,1.385,-0.002154722882294,-0.953353211843143,0.048127990790252,3,0.218916259228976,0.789163475549647,J202449.19+421756.1,12.091,11.51,9.073,7.315,13.857,12.966,12.472,0.03,0.028,0.124,0.022,0.026,0.023,3.05314240135102E+018,0,0,991n,AABU,0.206,1.06598530284296,3.54747,3.54747008802367,,3.54747008802367
2M20292168+4037467,307.3403,40.6296,4.366,4.3858,0.1078,3524.6504,3587.5112,102.0677,0.0163,0.0216,0.0386,63.3999,/uufs/chpc.utah.edu/common/home/sdss/apogeework/apogee/spectro/redux/dr17/stars/apo25m/CygnusX_C_btx/apStar-dr17-2M20292168+4037467.fits,apo25m,CygnusX_C_btx,apogee2-manga,yso_btx,"APOGEE2_YOUNG_CLUSTER,APOGEE2_",4,0,2052,"BRIGHT_NEIGHBOR,PERSIST_LOW",0,0.36202788,6.9603453,0.6099129,79.2379020383219,0.975531229710246,2.1580973,0.7090764,5.9893165,2.06741298501914E+018,307.34033650607,40.62963529144,0.0142028,0.0093092,11.88,0.3865,0.6184,0.9082,0.6136,0.908158647519099,1.4801,4.19,-1.557,0.594,-3.89,0.871,290,0.9893,344.6,1.731,2.083,95,1.1483,0.1254,20,1.041,false,21.257223,18.657024,20.17899,0.190213,0.040627,0.009954,0.593,2.600199,NA,NA,0,NA,NA,1.56753073403456E+017,NA,NA,NA,1942.8008,1158.692,3120.604,1942.0973,1313.876,3035.9795,6.97,6.65,7.27,0.299,0.264,0.35,2.167,0.105,0.1,0.112,1537.667,0.089,0.602,3563.69,117.905,2.963,0.472,2.705,-0.535696896008238,-0.619638496508582,0.278025649112888,3,0.262721910370421,0.77663654525312,J202921.68+403746.6,10.521,9.547,6.383,3.998,13.971,12.24,11.266,0.025,0.021,0.023,0.033,0.027,0.022,0.018,3.06514080135102E+018,00hh,0,5500,AAAA,0.028,1.05035897111621,3.55479,3.55479326558612
