Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.0152,0.01508,5.0,0.6000000238,2.3211214542,0.6,0.68,3.6174,2.958,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.61e-12,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,3.07,3.42,4.18,2.573
0.0152,0.01508,5.69897,0.6000000238,2.3211214542,0.6,0.224,3.6102,3.385,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-5.57e-13,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,4.211,4.606,5.409,3.732
0.00015547,-2.0,6.0,0.6003244519,2.3213412762,0.6,0.087,3.6941,3.858,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.36e-13,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,4.553,,,
0.00015547,-2.0,6.17609,0.6003244519,2.3213412762,0.6,-0.056,3.6898,3.984,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.47e-13,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,4.91,,,
0.00015547,-2.0,6.30103,0.6003244519,2.3213412762,0.6,-0.152,3.6871,4.068,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.07e-13,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,5.149,,,
0.00015547,-2.0,6.47712,0.6003244519,2.3213412762,0.6,-0.276,3.685,4.184,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-7.03e-14,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,5.461,,,
0.00015547,-2.0,6.69897,0.6003244519,2.3213412762,0.6,-0.421,3.6837,4.324,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-4.3e-14,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,5.821,,,
0.00015547,-2.0,7.0,0.6003244519,2.3213412762,0.6,-0.583,3.6862,4.496,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.42e-14,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,6.228,,,
0.00015547,-2.0,7.47712,0.6003244519,2.3213412762,0.6,-0.637,3.7229,4.697,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.68e-14,0.0,0.7508,0.249,2.943e-05,7.939e-06,7.2e-05,-1.0,0.0001636,6.363,,,
0.00015547,-2.0,8.0,0.6003244519,2.3213412762,0.6,-0.781,3.7156,4.811,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.06e-14,0.0,0.7511,0.2488,2.939e-05,7.93e-06,7.192e-05,-1.0,0.0001636,6.721,,,
0.00015547,-2.0,8.47712,0.6003244519,2.3213412762,0.6,-0.777,3.7156,4.807,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.07e-14,0.0,0.7519,0.248,2.93e-05,7.906e-06,7.171e-05,-1.0,0.0001637,6.712,,,
